Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Id
538,5,2015-07-17,3967,577,1,1,0,0,340623
742,5,2015-07-17,7767,777,1,1,0,1,823793
982,5,2015-07-17,8120,677,1,1,0,1,227189
1089,5,2015-07-17,10730,1006,1,1,0,1,516752
1108,5,2015-07-17,5527,546,1,1,0,1,545161
538,4,2015-07-16,4721,631,1,1,0,0,592182
742,4,2015-07-16,8037,804,1,1,0,1,581171
982,4,2015-07-16,8160,688,1,1,0,1,844876
1089,4,2015-07-16,10464,1011,1,1,0,1,116945
1108,4,2015-07-16,6783,647,1,1,0,1,748630
538,3,2015-07-15,3857,579,1,1,0,0,628626
742,3,2015-07-15,8590,861,1,1,0,1,108027
982,3,2015-07-15,9763,743,1,1,0,1,434723
1089,3,2015-07-15,10620,1014,1,1,0,1,441564
1108,3,2015-07-15,6937,665,1,1,0,1,738024
538,2,2015-07-14,5303,702,1,1,0,0,439861
742,2,2015-07-14,9256,934,1,1,0,1,77125
982,2,2015-07-14,10899,823,1,1,0,1,338020
1089,2,2015-07-14,12384,1061,1,1,0,1,657283
1108,2,2015-07-14,8611,753,1,1,0,1,952999
538,1,2015-07-13,6381,797,1,1,0,0,934107
742,1,2015-07-13,12719,1099,1,1,0,1,565107
982,1,2015-07-13,13681,1024,1,1,0,1,618739
1089,1,2015-07-13,13505,1187,1,1,0,1,570416
1108,1,2015-07-13,10540,909,1,1,0,1,680978
538,7,2015-07-12,0,0,0,0,0,0,147688
742,7,2015-07-12,0,0,0,0,0,0,42770
982,7,2015-07-12,0,0,0,0,0,0,416891
1089,7,2015-07-12,0,0,0,0,0,0,56407
1108,7,2015-07-12,0,0,0,0,0,0,244662
538,6,2015-07-11,2451,337,1,0,0,0,717686
742,6,2015-07-11,7081,817,1,0,0,0,247619
982,6,2015-07-11,6338,563,1,0,0,0,839760
1089,6,2015-07-11,9706,930,1,0,0,0,644634
1108,6,2015-07-11,2554,233,1,0,0,0,315543
538,5,2015-07-10,3383,517,1,0,0,0,54152
742,5,2015-07-10,7504,833,1,0,0,1,815472
982,5,2015-07-10,7480,698,1,0,0,0,850212
1089,5,2015-07-10,9849,930,1,0,0,1,204990
1108,5,2015-07-10,5773,585,1,0,0,0,893586
538,4,2015-07-09,3838,565,1,0,0,0,990356
742,4,2015-07-09,7103,792,1,0,0,1,313993
982,4,2015-07-09,7828,687,1,0,0,0,576475
1089,4,2015-07-09,8449,842,1,0,0,1,449355
1108,4,2015-07-09,6025,631,1,0,0,0,317279
538,3,2015-07-08,3713,563,1,0,0,0,759609
742,3,2015-07-08,6880,693,1,0,0,1,90208
982,3,2015-07-08,7718,672,1,0,0,0,991074
1089,3,2015-07-08,8564,855,1,0,0,1,88468
1108,3,2015-07-08,5382,571,1,0,0,0,266379
538,2,2015-07-07,3794,609,1,0,0,0,680405
742,2,2015-07-07,6113,689,1,0,0,1,967133
982,2,2015-07-07,6910,577,1,0,0,0,30979
1089,2,2015-07-07,8986,877,1,0,0,1,676221
1108,2,2015-07-07,5171,565,1,0,0,0,496950
538,1,2015-07-06,4805,695,1,0,0,0,857722
742,1,2015-07-06,7619,857,1,0,0,1,993771
